ideology,State,Name,Twitter Handle
0.409211237,TX-34,Filemon Vela,@RepFilemonVela
0.41000134200000005,NY-11,Max Rose,@RepMaxRose
0.41077789299999995,TX-32,Colin Allred,@RepColinAllred
0.41315077,CA-10,Josh Harder,@RepJoshHarder
0.415319789,CA-23,Kevin McCarthy,@GOPLeader
0.41560558299999995,OR-05,Kurt Schrader,@RepSchrader
0.417835106,VA-02,Elaine Luria,@RepElaineLuria
0.42352212200000006,IA-01,Abby Finkenauer,@RepFinkenauer
0.425693835,IA-02,David Loebsack,@daveloebsack
0.434895023,NM-02,Xochitl Torres Small,@RepTorresSmall
0.44472815600000004,ME-02,Jared Golden,@RepGolden
0.44670093200000005,UT-04,Ben McAdams,@RepBenMcAdams
0.45762093600000003,CA-22,Devin Nunes,@RepDevinNunes
0.460382629,AZ-01,Tom O'Halleran,@RepOHalleran
0.46218559200000003,WI-03,Ron Kind,@RepRonKind
0.46357230899999996,GA-07,Rob Woodall,@RepRobWoodall
0.469605933,TX-15,Vicente Gonzalez,@RepGonzalez
0.47356501799999995,NC-09,Vacant,
0.47409952,OK-05,Kendra Horn,@RepKendraHorn
0.481679862,VA-07,Abigail Spanberger,@RepSpanberger
0.493288351,TX-13,Mac Thornberry,@MacTXPress
0.504304767,IA-03,Cynthia Axne,@RepCindyAxne
0.5114675160000001,KY-05,Harold Rogers,@RepHalRogers
0.51611852,ID-02,Michael K. Simpson,@CongMikeSimpson
0.517917028,TX-12,Kay Granger,@RepKayGranger
0.5206305960000001,OK-03,Frank D. Lucas,@RepFrankLucas
0.521645879,KY-04,Thomas Massie,@RepThomasMassie
0.5238006789999999,SC-01,Joe Cunningham,@RepCunningham
0.52395538,NC-05,Virginia Foxx,@virginiafoxx
0.525463618,MN-03,Dean Phillips,@RepDeanPhillips
0.52678139,NY-22,Anthony Brindisi,@RepBrindisi
0.532952741,IN-09,Trey Hollingsworth,@RepTrey
0.533425998,TX-31,John R. Carter,@JudgeCarter
0.533791392,OR-02,Greg Walden,@repgregwalden
0.534390255,NC-10,Patrick T. McHenry,@PatrickMcHenry
0.539393398,NY-24,John Katko,@RepJohnKatko
0.5410369,FL-16,Vern Buchanan,@VernBuchanan
0.545379163,NC-03,Walter B. Jones,@RepWalterJones
0.547139791,NY-23,Tom Reed,@RepTomReed
0.553494002,TX-28,Henry Cuellar,@RepCuellar
0.5542533829999999,PA-12,Vacant,
0.5544167329999999,NJ-02,Jefferson Van Dress,@CongressmanJVD
0.554741535,MI-06,Fred Upton,@RepFredUpton
0.55498708,AL-02,Martha Roby,@RepMarthaRoby
0.556464005,NY-02,Peter T. King,@RepPeteKing
0.5624846170000001,WA-03,Jaime Herrera Beutler,@HerreraBeutler
0.568217949,NJ-04,Christopher H. Smith,@RepChrisSmith
0.573307586,TN-06,John Rose,@RepJohnRose
0.574727078,GA-09,Doug Collins,@RepDougCollins
0.57674211,AK - At Large,Don Young,@repdonyoung
0.583419232,LA-01,Steve Scalise,@SteveScalise
0.584445538,TX-08,Kevin Brady,@RepKevinBrady
0.585430215,GA-14,Tom Graves,@RepTomGraves
0.588398572,ID-01,Russ Fulcher,@RepRussFulcher
0.589203645,TX-21,Chip Roy,@RepChipRoy
0.5904369429999999,VA-09,H. Morgan Griffith,@RepMGriffith
0.590519639,NV-02,Mark E. Amodei,@MarkAmodeiNV2
0.590760472,LA-06,Garret Graves,@RepGarretGraves
0.590954624,WY - At Large,Liz Cheney,@RepLizCheney
0.592498376,AL-03,Mike Rogers,@RepMikeRogersAL
0.593328105,FL-19,Francis Rooney,@RepRooney
0.595645883,TX-10,Michael T. McCaul,@RepMcCaul
0.596071632,WI-01,Bryan Steil,@RepBryanSteil
0.59660347,TX-03,Van Taylor,@RepVanTaylor
0.59698933,MO-06,Sam Graves,@RepSamGraves
0.597272989,PA-01,Brian Fitzpatrick,@RepBrianFitz
0.599341628,AL-04,Robert B. Aderholt,@Robert_Aderholt
0.602180619,UT-01,Rob Bishop,@RepRobBishop
0.606106602,SC-07,Tom Rice,@RepTomRice
0.608423587,AR-03,Steve Womack,@rep_stevewomack
0.60946907,IL-15,John Shimkus,@RepShimkus
0.611850827,FL-25,Mario Diaz-Balart,@MarioDB
0.613099856,IN-06,Greg Pence,@RepGregPence
0.6143815810000001,TX-26,Michael C. Burgess,@michaelcburgess
0.6174665739999999,NJ-05,Josh Gottheimer,@RepJoshG
0.617585814,OH-14,David P. Joyce,@RepDaveJoyce
0.620913661,ND - At Large,Kelly Armstrong,@RepArmstrongND
0.620949443,MN-07,Collin C. Peterson,
0.6228375829999999,SC-04,William Timmons,@reptimmons
0.622959375,OH-04,Jim Jordan,@Jim_Jordan
0.624450078,SD - At Large,Dusty Johnson,@RepDustyJohnson
0.625106219,WI-05,"F. James Sensenbrenner, Jr.",@JimPressOffice
0.628196281,UT-02,Chris Stewart,@RepChrisStewart
0.629182195,OH-16,Anthony Gonzalez,@RepAGonzalez
0.629448268,NC-02,George Holding,@RepHolding
0.630573081,TN-02,Tim Burchett,@RepTimBurchett
0.637956011,CA-04,Tom McClintock,@RepMcClintock
0.638791372,CA-50,Duncan Hunter,@Rep_Hunter
0.639345107,OH-08,Warren Davidson,@WarrenDavidson
0.639919247,MI-01,Jack Bergman,@RepJackBergman
0.64172384,TX-23,Will Hurd,@HurdOnTheHill
0.642065546,IL-16,Adam Kinzinger,@RepKinzinger
0.642833726,NY-01,Lee M. Zeldin,@RepLeeZeldin
0.644688966,UT-03,John R. Curtis,@RepJohnCurtis
0.646932219,CA-08,Paul Cook,@RepPaulCook
0.647662141,AL-06,Gary J. Palmer,@USRepGaryPalmer
0.647822958,CA-42,Ken Calvert,@KenCalvert
0.648399002,AZ-06,David Schweikert,@RepDavid
0.64866631,PA-09,Daniel Meuser,@RepMeuser
0.6513088229999999,VA-06,Ben Cline,@RepBenCline
0.653632,FL-11,Daniel Webster,@RepWebster
0.654999223,GA-03,A. Drew Ferguson,@RepDrewFerguson
0.655390544,LA-03,Clay Higgins,@RepClayHiggins
0.656065886,WV-03,Carol Miller,@RepCarolMiller
0.658976746,IN-05,Susan W. Brooks,@SusanWBrooks
0.661825628,MS-03,Michael Guest,@RepMichaelGuest
0.663534576,PA-11,Lloyd Smucker,@RepSmucker
0.663547119,TX-25,Roger Williams,@RepRWilliams
0.663567433,MI-07,Tim Walberg,@RepWalberg
0.6641190220000001,GA-08,Austin Scott,@AustinScottGA08
0.664807942,TN-03,"Charles J. ""Chuck"" Fleischmann",@RepChuck
0.664842782,KY-02,Brett Guthrie,@RepGuthrie
0.665526327,NE-03,Adrian Smith,@RepAdrianSmith
0.667675455,CO-04,Ken Buck,@RepKenBuck
0.668470935,TX-19,Jodey C. Arrington,@RepArrington
0.669250922,WV-01,David B. McKinley,@RepMcKinley
0.6698499370000001,NE-01,Jeff Fortenberry,@JeffFortenberry
0.670287835,MS-04,Steven M. Palazzo,@CongPalazzo
0.6740595640000001,TN-08,David Kustoff,@RepDavidKustoff
0.6763517290000001,KY-01,James Comer,
0.677007481,MO-08,Jason Smith,@RepJasonSmith
